regiao;data;obitosAcumulado
Sul;2020-05-09;266
Sul;2020-05-10;271
Sul;2020-05-11;285
Sul;2020-05-12;297
Sul;2020-05-13;301
Sul;2020-05-14;317
Sul;2020-05-15;325
Sul;2020-05-16;336
Sul;2020-05-17;349
Sul;2020-05-18;356
Sul;2020-05-19;371
Sul;2020-05-20;392
Sul;2020-05-21;405
Sul;2020-05-22;418
Sul;2020-05-23;429
Sul;2020-05-24;438
Sul;2020-05-25;462
Sul;2020-05-26;483
Sul;2020-05-27;497
Sul;2020-05-28;513
Sul;2020-05-29;533
Sul;2020-05-30;554
Sul;2020-05-31;576
Sul;2020-06-01;598
Sul;2020-06-02;621
Sul;2020-06-03;645
Sul;2020-06-04;670
Sul;2020-06-05;696
Sul;2020-06-06;723
Sul;2020-06-07;751
Sul;2020-06-08;780
Sul;2020-06-09;810
Sul;2020-06-10;842
Sul;2020-06-11;875
Sul;2020-06-12;909
Sul;2020-06-13;944
Sul;2020-06-14;981
Sul;2020-06-15;1019
Centro-Oeste;2020-03-07;0
Centro-Oeste;2020-03-08;0
Centro-Oeste;2020-03-09;0
Centro-Oeste;2020-03-10;0
Centro-Oeste;2020-03-11;0
Centro-Oeste;2020-03-12;0
Centro-Oeste;2020-03-13;0
Centro-Oeste;2020-03-14;0
Centro-Oeste;2020-03-15;0
Centro-Oeste;2020-03-16;0
Centro-Oeste;2020-03-17;0
Centro-Oeste;2020-03-18;0
Centro-Oeste;2020-03-19;0
Centro-Oeste;2020-03-20;0
Centro-Oeste;2020-03-21;0
Centro-Oeste;2020-03-22;0
Centro-Oeste;2020-03-23;0
Centro-Oeste;2020-03-24;0
Centro-Oeste;2020-03-25;0
Centro-Oeste;2020-03-26;1
Centro-Oeste;2020-03-27;1
Centro-Oeste;2020-03-28;1
Centro-Oeste;2020-03-29;2
Centro-Oeste;2020-03-30;2
Centro-Oeste;2020-03-31;5
Centro-Oeste;2020-04-01;5
Centro-Oeste;2020-04-02;6
Centro-Oeste;2020-04-03;9
Centro-Oeste;2020-04-04;11
Centro-Oeste;2020-04-05;12
Centro-Oeste;2020-04-06;17
Centro-Oeste;2020-04-07;20
Centro-Oeste;2020-04-08;22
Centro-Oeste;2020-04-09;24
Centro-Oeste;2020-04-10;26
Centro-Oeste;2020-04-11;29
Centro-Oeste;2020-04-12;33
Centro-Oeste;2020-04-13;38
Centro-Oeste;2020-04-14;40
Centro-Oeste;2020-04-15;40
Centro-Oeste;2020-04-16;46
Centro-Oeste;2020-04-17;46
Centro-Oeste;2020-04-18;52
Centro-Oeste;2020-04-19;52
Centro-Oeste;2020-04-20;54
Centro-Oeste;2020-04-21;55
Centro-Oeste;2020-04-22;58
Centro-Oeste;2020-04-23;62
Centro-Oeste;2020-04-24;65
Centro-Oeste;2020-04-25;67
Centro-Oeste;2020-04-26;68
Centro-Oeste;2020-04-27;72
Centro-Oeste;2020-04-28;75
Centro-Oeste;2020-04-29;75
Centro-Oeste;2020-04-30;79
Centro-Oeste;2020-05-01;79
Centro-Oeste;2020-05-02;82
Centro-Oeste;2020-05-03;85
Centro-Oeste;2020-05-04;86
Centro-Oeste;2020-05-05;94
Centro-Oeste;2020-05-06;101
Centro-Oeste;2020-05-07;102
Centro-Oeste;2020-05-08;111
Centro-Oeste;2020-05-09;113
Centro-Oeste;2020-05-10;118
Centro-Oeste;2020-05-11;123
Centro-Oeste;2020-05-12;129
Centro-Oeste;2020-05-13;142
Centro-Oeste;2020-05-14;152
Centro-Oeste;2020-05-15;162
Centro-Oeste;2020-05-16;167
Centro-Oeste;2020-05-17;171
Centro-Oeste;2020-05-18;184
Centro-Oeste;2020-05-19;193
Centro-Oeste;2020-05-20;204
Centro-Oeste;2020-05-21;220
Centro-Oeste;2020-05-22;237
Centro-Oeste;2020-05-23;244
Centro-Oeste;2020-05-24;256
Centro-Oeste;2020-05-25;268
Centro-Oeste;2020-05-26;288
Centro-Oeste;2020-05-27;305
Centro-Oeste;2020-05-28;326
Centro-Oeste;2020-05-29;342
Centro-Oeste;2020-05-30;359
Centro-Oeste;2020-05-31;376
Centro-Oeste;2020-06-01;394
Centro-Oeste;2020-06-02;413
Centro-Oeste;2020-06-03;433
Centro-Oeste;2020-06-04;454
Centro-Oeste;2020-06-05;476
Centro-Oeste;2020-06-06;499
Centro-Oeste;2020-06-07;523
Centro-Oeste;2020-06-08;548
Centro-Oeste;2020-06-09;574
Centro-Oeste;2020-06-10;602
Centro-Oeste;2020-06-11;631
Centro-Oeste;2020-06-12;661
Centro-Oeste;2020-06-13;693
Centro-Oeste;2020-06-14;726
Centro-Oeste;2020-06-15;761
